Value Set Name,External ID,Value Set ID,Code system,Code,Description,Output Reason,Single Soft,Single Hard,Hard,Soft,Only if these Codes are not present,Reason,NDC Required
,,,HCPCS,J0136,"Injection, acetaminophen (b braun), not therapeutically equivalent to j0131, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1814,"Insulin (lyumjev), per 5 units",Included rule,,,,,,,Yes
,,,HCPCS,J1806,"Injection, esmolol hydrochloride (wg critical care), not therapeutically equivalent to j1805, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1748,"Injection, infliximab-dyyb (zymfentra), 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1744,"Injection, icatibant, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1611,"Injection, glucagon hydrochloride (fresenius kabi), not therapeutically equivalent to j1610, per 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1602,"Injection, golimumab, 1 mg, for intravenous use",Included rule,,,,,,,Yes
,,,HCPCS,J1566,"Injection, immune globulin, intravenous, lyophilized (e.g., powder), not otherwise specified, 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1610,"Injection, glucagon hydrochloride, per 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1574,"Injection, ganciclovir sodium (exela), not therapeutically equivalent to j1570, 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,J3360,"Injection, diazepam, up to 5 mg",Included rule,,,,,,,Yes
